ZINC_ID	MWT	LogP	Desolv_apolar	Desolv_polar	HBD	HBA	tPSA	Charge	NRB	SMILES
ZINC00117547	215.661	1.66	3.07	-13.29	0	3	58	0	2	c1ccc(c(c1)S(=O)(=O)CC#N)Cl
ZINC00117548	247.318	1.90	6.51	-38.71	2	4	47	1	4	Cc1c(c2cc(ccc2[nH]1)OC)C(=O)C[NH+](C)C
ZINC00117549	230.694	4.52	1.98	-5.78	0	1	17	0	2	Cc1ccc(cc1)C(=O)c2ccc(cc2)Cl
ZINC00117550	261.345	1.96	8.11	-38.71	1	4	36	1	4	Cc1c(c2cc(ccc2n1C)OC)C(=O)C[NH+](C)C
ZINC00117553	255.249	3.20	9.69	-53.25	0	4	66	-1	4	CC(=O)Oc1ccc(cc1)c2ccc(cc2)C(=O)[O-]
ZINC00117556	275.251	3.33	2.41	-5.52	0	3	39	0	4	CCOC(=O)c1cc2c(s1)cc(cn2)C(F)(F)F
ZINC00117557	301.41	2.87	2.17	-37.3	1	4	35	1	4	Cc1c(c2cc(ccc2n1C)OC)C(=O)C[NH+]3CCCCC3
ZINC00117558	258.306	1.81	-1.5	-14.9	2	5	70	0	4	c1ccc2c(c1)c(c[nH]2)C(=O)CNc3nncs3
ZINC00117559	228.247	2.70	-1.15	-10.99	2	3	58	0	3	c1ccc(cc1)CC(=O)c2ccc(cc2O)O
ZINC00117563	280.287	1.36	0.58	-11.72	0	6	61	0	0	Cn1c2c3cnc4ccccc4n3cc2c(=O)n(c1=O)C
ZINC00117566	348.284	2.50	1.16	-12.53	0	6	61	0	1	Cn1c2c(cn3c2c(nc4c3cccc4)C(F)(F)F)c(=O)n(c1=O)C
ZINC00117568	285.372	2.79	6.75	-9.45	2	4	58	0	4	Cc1ccc2c(c1)[nH]c(c2C(=O)CNc3nccs3)C
ZINC00117570	279.299	1.90	2	-15.74	0	5	48	0	0	Cn1c2cn3ccc4ccccc4c3c2c(=O)n(c1=O)C
ZINC00117571	286.36	2.46	6.06	-11.38	2	5	71	0	4	Cc1ccc2c(c1)[nH]c(c2C(=O)CNc3nncs3)C
ZINC00117575	246.31	1.54	5.63	-13.68	1	4	49	0	3	CCc1ccc2c(c1)[C@@H](C(=O)N2CC)NC(=O)C
ZINC00117576	315.398	2.47	7.01	-12.71	1	5	56	0	5	Cc1c(c2cc(ccc2n1C)OC)C(=O)CNc3nccs3
ZINC00117580	329.425	2.69	7.53	-14.93	1	5	56	0	5	Cc1csc(n1)NCC(=O)c2c(n(c3c2cc(cc3)OC)C)C
ZINC00117581	349.383	2.65	7.74	-9.23	0	5	64	0	4	COC(=O)[C@H]1Cc2ccccc2CN1S(=O)(=O)c3ccc(cc3)F
